,product_name,allergens_tags,additives_tags,nutriscore_score,nutriscore_grade,pnns_groups_1,pnns_groups_2,main_category,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g
219,alta digeribilità yogurt alla greca di grassi,0,0,-5.0,a,Milk and dairy products,Milk and yogurt,en:lactose-free-yogurts,0.0,60.0,251.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,10.0,0.0,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,alta qualita latte fresco,0,0,1.0,b,Milk and dairy products,Milk and yogurt,en:milks,0.0,66.0,276.0,0.0,3.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,3.3,0.0,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,amaretti,"en:eggs,en:gluten,en:nuts,en:soybeans",0,13.0,d,Sugary snacks,Biscuits and cakes,en:biscuits,0.0,451.0,1887.0,0.0,23.0,1.6000000238419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,0.0,0.0,1.0,14.0,0.0,0.0,0.070000000298023,0.0280000001192092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,ancora uno,en:gluten,"en:e336,en:e336i,en:e500,en:e500ii",17.0,d,Sugary snacks,Biscuits and cakes,en:chocolate-chip-cookies,0.0,485.0,2029.0,0.0,20.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3,30.0,0.0,0.0,3.0,6.2,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2749,aperitivo con patata classic,"en:gluten,en:sulphur-dioxide-and-sulphites",en:e471,9.0,c,Salty snacks,Appetizers,en:crackers,2139.0,512.0,2139.0,0.0,27.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.4,0.0,0.0,3.9,4.2,0.0,0.0,1.2,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,arachidi,"en:peanuts,it:arachide",0,4.0,c,Salty snacks,Nuts,en:roasted-peanuts,2536.0,612.0,2536.0,0.0,49.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,4.2,0.0,0.0,9.0,25.0,0.0,0.0,1.05,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,arancia rossa,0,0,-3.0,a,unknown,unknown,it:succo-arancia,0.001,49.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,asparagi verdi al naturale,0,0,-6.0,a,Fruits and vegetables,Vegetables,en:asparagus,0.0,21.0,88.0,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.0,1.1,2.4,0.0,0.0,0.23,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2329,assortiment de biscuits,"en:eggs,en:gluten,en:milk,en:nuts,en:soybeans","en:e150,en:e160,en:e322,en:e450,en:e471,en:e500,en:e503",20.0,e,Sugary snacks,Biscuits and cakes,en:assortments-of-biscuits,2151.0,515.0,2151.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,35.0,0.0,0.0,4.7,5.9,0.0,0.0,0.42,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,avena senza glutine,0,"en:e101,en:e418",1.0,b,Beverages,Plant-based milk substitutes,en:oat-milks,0.0,38.0,159.0,0.0,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.048,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
991,avena soffiata,0,0,10.0,c,unknown,unknown,it:cilazione,0.0,391.0,1636.0,0.0,9.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.1,0.0,0.0,8.0,12.0,0.0,0.0,9.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
