product_name,categoria,packaging_tags,categories_tags,labels_tags,allergens_tags,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,pantothenic-acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,iodine_100g
crostini con farina integrale,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:palm-oil-free,en:gluten,0.0,0,8.0,c,3.0,Cereals and potatoes,Bread,en:breads,1849.0,11.0,1.4,0.0,0.0,0.0,70.0,2.0,7.0,12.0,1.7,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crostini dorati,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:palm-oil-free,en:gluten,0.0,0,2.0,b,3.0,Cereals and potatoes,Bread,en:breads,1791.0,9.2,1.2,0.0,0.0,0.0,74.0,4.3,3.7,10.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crostini integrali,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:croutons,en:wholemeal-breads",0,0,0.0,0,16.0,d,0.0,Cereals and potatoes,Bread,en:wholemeal-breads,1732.0,11.5,1.2,0.0,0.0,0.0,61.2,2.3,0.0,12.7,6.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crunchy choco,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breakfasts,en:cereals-and-their-products,en:breakfast-cereals,it:prodotti-dolciari",0,"en:gluten,en:nuts,en:soybeans,it:avena",2.0,"en:e150a,en:e500",20.0,e,4.0,Cereals and potatoes,Breakfast cereals,it:prodotti-dolciari,1837.0,15.6,10.3,0.0,0.0,0.0,62.0,23.9,0.0,8.8,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crusca,Pasta e Cereali,carta-plastica,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breakfasts,en:cereals-and-their-products,en:breakfast-cereals,en:flakes,en:cereal-flakes,en:extruded-cereals,en:extruded-flakes,en:mixed-cereal-flakes",0,0,0.0,0,-4.0,a,3.0,Cereals and potatoes,Breakfast cereals,en:mixed-cereal-flakes,1381.0,3.8,0.7,0.0,0.0,0.0,44.1,7.2,31.0,14.6,0.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuor di cereale,Pasta e Cereali,boite,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:sweet-snacks,en:breakfasts,en:cereals-and-their-products,en:biscuits-and-cakes,en:breakfast-cereals,en:biscuits",0,"en:gluten,en:soybeans",2.0,"en:e414,en:e503,en:e503ii",17.0,d,4.0,Cereals and potatoes,Breakfast cereals,en:biscuits,1895.0,18.0,5.5,0.0,0.0,0.0,61.0,28.0,0.0,7.2,0.43,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuore di filetto di nasello,Pesce,scatola-cartone,"en:seafood,en:fishes,en:frozen-foods,en:frozen-seafood,en:frozen-fishes",0,0,0.0,0,-5.0,a,0.0,Fish Meat Eggs,Fish and seafood,en:frozen-fishes,318.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuori di carciofo,Verdura,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:vegetables-based-foods,en:frozen-plant-based-foods,en:vegetable-rods,en:frozen-vegetables,en:artichokes,en:frozen-artichokes",0,0,0.0,0,-11.0,a,0.0,fruits-and-vegetables,vegetables,en:frozen-artichokes,180.0,0.1,0.1,0.0,0.0,0.0,2.6,2.6,10.8,2.4,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuori di filetto di salmone selvaggio dell'alaska,Pesce,0,"en:seafood,en:fishes,en:fish-fillets,en:salmons,en:salmon-fillets",0,0,0.0,0,0.0,b,0.0,Fish Meat Eggs,Fish and seafood,en:salmon-fillets,1469.0,1.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.38,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dadini gran cotto,Carne,0,"en:meats,en:prepared-meats,en:hams,en:white-hams",en:no-gluten,en:milk,0.0,0,4.0,c,4.0,Fish Meat Eggs,Processed meat,en:white-hams,485.0,4.0,1.4,0.0,0.0,0.0,1.0,1.0,0.0,19.0,1.7,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
